Freq.	V(n003)
1.00000000000000e-001	9.99998000003500e-001,-9.99990741089075e-007
1.01157945425990e-001	9.99998000003489e-001,-1.01157008803731e-006
1.02329299228075e-001	9.99998000003477e-001,-1.02328351767963e-006
1.03514216667934e-001	9.99998000003464e-001,-1.03513258238384e-006
1.04712854805090e-001	9.99998000003452e-001,-1.04711885255882e-006
1.05925372517729e-001	9.99998000003439e-001,-1.05924391740400e-006
1.07151930523761e-001	9.99998000003426e-001,-1.07150938396557e-006
1.08392691402120e-001	9.99998000003412e-001,-1.08391687802477e-006
1.09647819614319e-001	9.99998000003399e-001,-1.09646804368147e-006
1.10917481526240e-001	9.99998000003385e-001,-1.10916454532485e-006
1.12201845430196e-001	9.99998000003371e-001,-1.12200806566275e-006
1.13501081567232e-001	9.99998000003356e-001,-1.13500030672089e-006
1.14815362149688e-001	9.99998000003341e-001,-1.14814299056447e-006
1.16144861384034e-001	9.99998000003325e-001,-1.16143786001986e-006
1.17489755493953e-001	9.99998000003310e-001,-1.17488667650963e-006
1.18850222743702e-001	9.99998000003294e-001,-1.18849122310569e-006
1.20226443461741e-001	9.99998000003277e-001,-1.20225330269740e-006
1.21618600064637e-001	9.99998000003261e-001,-1.21617473982347e-006
1.23026877081238e-001	9.99998000003243e-001,-1.23025737989475e-006
1.24451461177139e-001	9.99998000003225e-001,-1.24450308880570e-006
1.25892541179417e-001	9.99998000003208e-001,-1.25891375548790e-006
1.27350308101666e-001	9.99998000003189e-001,-1.27349128980059e-006
1.28824955169314e-001	9.99998000003170e-001,-1.28823762391848e-006
1.30316677845230e-001	9.99998000003151e-001,-1.30315471233173e-006
1.31825673855641e-001	9.99998000003131e-001,-1.31824453273416e-006
1.33352143216333e-001	9.99998000003111e-001,-1.33350908524606e-006
1.34896288259166e-001	9.99998000003090e-001,-1.34895039258072e-006
1.36458313658893e-001	9.99998000003069e-001,-1.36457050193186e-006
1.38038426460289e-001	9.99998000003047e-001,-1.38037148369680e-006
1.39636836105594e-001	9.99998000003025e-001,-1.39635543208714e-006
1.41253754462276e-001	9.99998000003002e-001,-1.41252446596142e-006
1.42889395851111e-001	9.99998000002979e-001,-1.42888072843649e-006
1.44543977074593e-001	9.99998000002955e-001,-1.44542638766474e-006
1.46217717445672e-001	9.99998000002931e-001,-1.46216363638996e-006
1.47910838816821e-001	9.99998000002906e-001,-1.47909469316859e-006
1.49623565609444e-001	9.99998000002881e-001,-1.49622180259181e-006
1.51356124843621e-001	9.99998000002854e-001,-1.51354723434177e-006
1.53108746168203e-001	9.99998000002828e-001,-1.53107328541211e-006
1.54881661891249e-001	9.99998000002801e-001,-1.54880227833155e-006
1.56675107010815e-001	9.99998000002773e-001,-1.56673656355092e-006
1.58489319246112e-001	9.99998000002744e-001,-1.58487851805534e-006
1.60324539069005e-001	9.99998000002715e-001,-1.60323054614137e-006
1.62181009735893e-001	9.99998000002685e-001,-1.62179508113791e-006
1.64058977319954e-001	9.99998000002654e-001,-1.64057458307467e-006
1.65958690743757e-001	9.99998000002623e-001,-1.65957154151327e-006
1.67880401812257e-001	9.99998000002591e-001,-1.67878847415946e-006
1.69824365246175e-001	9.99998000002558e-001,-1.69822792852844e-006
1.71790838715759e-001	9.99998000002524e-001,-1.71789248111220e-006
1.73780082874938e-001	9.99998000002490e-001,-1.73778473876733e-006
1.75792361395870e-001	9.99998000002455e-001,-1.75790733749370e-006
1.77827941003893e-001	9.99998000002418e-001,-1.77826294498804e-006
1.79887091512879e-001	9.99998000002382e-001,-1.79885425942267e-006
1.81970085860999e-001	9.99998000002344e-001,-1.81968401000062e-006
1.84077200146896e-001	9.99998000002306e-001,-1.84075495773276e-006
1.86208713666287e-001	9.99998000002266e-001,-1.86206989565987e-006
1.88364908948981e-001	9.99998000002226e-001,-1.88363164918571e-006
1.90546071796325e-001	9.99998000002184e-001,-1.90544307585494e-006
1.92752491319094e-001	9.99998000002142e-001,-1.92750706624135e-006
1.94984459975805e-001	9.99998000002099e-001,-1.94982654605723e-006
1.97242273611486e-001	9.99998000002055e-001,-1.97240447359990e-006
1.99526231496889e-001	9.99998000002010e-001,-1.99524384086190e-006
2.01836636368157e-001	9.99998000001963e-001,-2.01834767530737e-006
2.04173794466954e-001	9.99998000001916e-001,-2.04171904009409e-006
2.06538015581054e-001	9.99998000001867e-001,-2.06536103263018e-006
2.08929613085405e-001	9.99998000001818e-001,-2.08927678623943e-006
2.11348903983666e-001	9.99998000001767e-001,-2.11346947082745e-006
2.13796208950224e-001	9.99998000001715e-001,-2.13794229421393e-006
2.16271852372703e-001	9.99998000001662e-001,-2.16269849952362e-006
2.18776162394956e-001	9.99998000001607e-001,-2.18774136812840e-006
2.21309470960565e-001	9.99998000001551e-001,-2.21307421859261e-006
2.23872113856835e-001	9.99998000001494e-001,-2.23870041011468e-006
2.26464430759307e-001	9.99998000001436e-001,-2.26462333914101e-006
2.29086765276778e-001	9.99998000001376e-001,-2.29084644147536e-006
2.31739464996849e-001	9.99998000001315e-001,-2.31737319322254e-006
2.34422881531993e-001	9.99998000001252e-001,-2.34420711056638e-006
2.37137370566167e-001	9.99998000001189e-001,-2.37135174932562e-006
2.39883291901950e-001	9.99998000001122e-001,-2.39881070845113e-006
2.42661009508243e-001	9.99998000001056e-001,-2.42658762730587e-006
2.45470891568504e-001	9.99998000000987e-001,-2.45468618749671e-006
2.48313310529558e-001	9.99998000000917e-001,-2.48311011415125e-006
2.51188643150959e-001	9.99998000000846e-001,-2.51186317391938e-006
2.54097270554932e-001	9.99998000000772e-001,-2.54094917897008e-006
2.57039578276888e-001	9.99998000000696e-001,-2.57037198349424e-006
2.60015956316529e-001	9.99998000000619e-001,-2.60013548847861e-006
2.63026799189540e-001	9.99998000000541e-001,-2.63024363809755e-006
2.66072505979882e-001	9.99998000000460e-001,-2.66070042426498e-006
2.69153480392693e-001	9.99998000000378e-001,-2.69150988319267e-006
2.72270130807793e-001	9.99998000000294e-001,-2.72267609838785e-006
2.75422870333818e-001	9.99998000000207e-001,-2.75420320198545e-006
2.78612116862979e-001	9.99998000000119e-001,-2.78609537230565e-006
2.81838293126447e-001	9.99998000000028e-001,-2.81835683551920e-006
2.85101826750393e-001	9.99997999999936e-001,-2.85099186992174e-006
2.88403150312662e-001	9.99997999999841e-001,-2.88400480027173e-006
2.91742701400118e-001	9.99997999999744e-001,-2.91740000178719e-006
2.95120922666640e-001	9.99997999999646e-001,-2.95118190120046e-006
2.98538261891798e-001	9.99997999999543e-001,-2.98535497770185e-006
3.01995172040203e-001	9.99997999999440e-001,-3.01992375877632e-006
3.05492111321553e-001	9.99997999999334e-001,-3.05489282753095e-006
3.09029543251361e-001	9.99997999999225e-001,-3.09026681919776e-006
3.12607936712398e-001	9.99997999999114e-001,-3.12605042268798e-006
3.16227766016840e-001	9.99997999999000e-001,-3.16224838081410e-006
3.19889510969142e-001	9.99997999998884e-001,-3.19886549140015e-006
3.23593656929630e-001	9.99997999998764e-001,-3.23590660767018e-006
3.27340694878840e-001	9.99997999998643e-001,-3.27337664030227e-006
3.31131121482593e-001	9.99997999998518e-001,-3.31128055543006e-006
3.34965439157830e-001	9.99997999998390e-001,-3.34962337714077e-006
3.38844156139205e-001	9.99997999998260e-001,-3.38841018780829e-006
3.42767786546453e-001	9.99997999998125e-001,-3.42764612898132e-006
3.46736850452534e-001	9.99997999997989e-001,-3.46733640049522e-006
3.50751873952571e-001	9.99997999997848e-001,-3.50748626335859e-006
3.54813389233578e-001	9.99997999997706e-001,-3.54810103991975e-006
3.58921934645008e-001	9.99997999997559e-001,-3.58918611414439e-006
3.63078054770104e-001	9.99997999997408e-001,-3.63074693072729e-006
3.67282300498087e-001	9.99997999997255e-001,-3.67278899825653e-006
3.71535229097175e-001	9.99997999997098e-001,-3.71531789049021e-006
3.75837404288447e-001	9.99997999996938e-001,-3.75833924435806e-006
3.80189396320564e-001	9.99997999996773e-001,-3.80185876146022e-006
3.84591782045357e-001	9.99997999996604e-001,-3.84588221112039e-006
3.89045144994284e-001	9.99997999996432e-001,-3.89041542827637e-006
3.93550075455781e-001	9.99997999996256e-001,-3.93546431608911e-006
3.98107170553500e-001	9.99997999996076e-001,-3.98103484494347e-006
4.02717034325462e-001	9.99997999995891e-001,-4.02713305572343e-006
4.07380277804116e-001	9.99997999995702e-001,-4.07376505909040e-006
4.12097519097334e-001	9.99997999995510e-001,-4.12093703487264e-006
4.16869383470339e-001	9.99997999995311e-001,-4.16865523656159e-006
4.21696503428586e-001	9.99997999995109e-001,-4.21692598925805e-006
4.26579518801596e-001	9.99997999994901e-001,-4.26575569161499e-006
4.31519076827769e-001	9.99997999994689e-001,-4.31515081411675e-006
4.36515832240170e-001	9.99997999994472e-001,-4.36511790562934e-006
4.41570447353316e-001	9.99997999994250e-001,-4.41566358851545e-006
4.46683592150967e-001	9.99997999994024e-001,-4.46679456313088e-006
4.51855944374926e-001	9.99997999993791e-001,-4.51851760649223e-006
4.57088189614879e-001	9.99997999993554e-001,-4.57083957427533e-006
4.62381021399264e-001	9.99997999993310e-001,-4.62376740225853e-006
4.67735141287202e-001	9.99997999993061e-001,-4.67730810543450e-006
4.73151258961485e-001	9.99997999992806e-001,-4.73146878073030e-006
4.78630092322643e-001	9.99997999992546e-001,-4.78625660700736e-006
4.84172367584104e-001	9.99997999992279e-001,-4.84167884644926e-006
4.89778819368451e-001	9.99997999992006e-001,-4.89774284522788e-006
4.95450190804795e-001	9.99997999991726e-001,-4.95445603405849e-006
5.01187233627277e-001	9.99997999991441e-001,-5.01182593178023e-006
5.06990708274709e-001	9.99997999991148e-001,-5.06986014099848e-006
5.12861383991370e-001	9.99997999990848e-001,-5.12856635430210e-006
5.18800038928966e-001	9.99997999990543e-001,-5.18795235384712e-006
5.24807460249778e-001	9.99997999990229e-001,-5.24802601069057e-006
5.30884444230993e-001	9.99997999989908e-001,-5.30879528789914e-006
5.37031796370258e-001	9.99997999989580e-001,-5.37026824027158e-006
5.43250331492439e-001	9.99997999989244e-001,-5.43245301550449e-006
5.49540873857630e-001	9.99997999988900e-001,-5.49535785694007e-006
5.55904257270409e-001	9.99997999988549e-001,-5.55899110151223e-006
5.62341325190355e-001	9.99997999988189e-001,-5.62336118485360e-006
5.68852930843847e-001	9.99997999987820e-001,-5.68847663882532e-006
5.75439937337163e-001	9.99997999987444e-001,-5.75434609387620e-006
5.82103217770877e-001	9.99997999987058e-001,-5.82097828081913e-006
5.88843655355595e-001	9.99997999986663e-001,-5.88838203263518e-006
5.95662143529016e-001	9.99997999986259e-001,-5.95656628330785e-006
6.02559586074364e-001	9.99997999985846e-001,-6.02554007037659e-006
6.09536897240175e-001	9.99997999985423e-001,-6.09531253563068e-006
6.16595001861489e-001	9.99997999984991e-001,-6.16589292841216e-006
6.23734835482426e-001	9.99997999984548e-001,-6.23729060333985e-006
6.30957344480200e-001	9.99997999984095e-001,-6.30951502455598e-006
6.38263486190555e-001	9.99997999983630e-001,-6.38257576528207e-006
6.45654229034662e-001	9.99997999983156e-001,-6.45648250928998e-006
6.53130552647479e-001	9.99997999982671e-001,-6.53124505331666e-006
6.60693448007603e-001	9.99997999982174e-001,-6.60687330662007e-006
6.68343917568622e-001	9.99997999981665e-001,-6.68337729425427e-006
6.76082975391989e-001	9.99997999981145e-001,-6.76076715570949e-006
6.83911647281437e-001	9.99997999980613e-001,-6.83905314988029e-006
6.91830970918944e-001	9.99997999980068e-001,-6.91824565295621e-006
6.99841996002281e-001	9.99997999979512e-001,-6.99835516197441e-006
7.07945784384146e-001	9.99997999978940e-001,-7.07939229537484e-006
7.16143410212910e-001	9.99997999978358e-001,-7.16136779485984e-006
7.24435960074998e-001	9.99997999977759e-001,-7.24429252550513e-006
7.32824533138912e-001	9.99997999977149e-001,-7.32817747959015e-006
7.41310241300926e-001	9.99997999976524e-001,-7.41303377548775e-006
7.49894209332464e-001	9.99997999975883e-001,-7.49887266135576e-006
7.58577575029192e-001	9.99997999975228e-001,-7.58570551386017e-006
7.67361489361828e-001	9.99997999974558e-001,-7.67354384392058e-006
7.76247116628701e-001	9.99997999973873e-001,-7.76239929379580e-006
7.85235634610081e-001	9.99997999973171e-001,-7.85228364149708e-006
7.94328234724291e-001	9.99997999972452e-001,-7.94320880062147e-006
8.03526122185627e-001	9.99997999971717e-001,-8.03518682393236e-006
8.12830516164109e-001	9.99997999970965e-001,-8.12822990213823e-006
8.22242649947081e-001	9.99997999970196e-001,-8.22235036852778e-006
8.31763771102681e-001	9.99997999969408e-001,-8.31756069866466e-006
8.41395141645205e-001	9.99997999968603e-001,-8.41387351233035e-006
8.51138038202387e-001	9.99997999967779e-001,-8.51130157568908e-006
8.60993752184611e-001	9.99997999966934e-001,-8.60985780303645e-006
8.70963589956091e-001	9.99997999966071e-001,-8.70955525763207e-006
8.81048873008025e-001	9.99997999965187e-001,-8.81040715455842e-006
8.91250938133757e-001	9.99997999964283e-001,-8.91242686074856e-006
9.01571137605968e-001	9.99997999963358e-001,-9.01562789992665e-006
9.12010839355921e-001	9.99997999962412e-001,-9.12002395088710e-006
9.22571427154775e-001	9.99997999961443e-001,-9.22562885121380e-006
9.33254300797003e-001	9.99997999960452e-001,-9.33245659825156e-006
9.44060876285935e-001	9.99997999959437e-001,-9.44052135276990e-006
9.54992586021448e-001	9.99997999958399e-001,-9.54983743768621e-006
9.66050878989826e-001	9.99997999957337e-001,-9.66041934392222e-006
9.77237220955823e-001	9.99997999956250e-001,-9.77228172790600e-006
9.88553094656952e-001	9.99997999955138e-001,-9.88543941681775e-006
1.00000000000001e+000	9.99997999954000e-001,-9.99990741083798e-006
1.01157945425991e+000	9.99997999952835e-001,-1.01157008811214e-005
1.02329299228077e+000	9.99997999951643e-001,-1.02328351765970e-005
1.03514216667936e+000	9.99997999950423e-001,-1.03513258235517e-005
1.04712854805091e+000	9.99997999949176e-001,-1.04711885271848e-005
1.05925372517730e+000	9.99997999947900e-001,-1.05924391757570e-005
1.07151930523762e+000	9.99997999946592e-001,-1.07150938408825e-005
1.08392691402122e+000	9.99997999945255e-001,-1.08391687799016e-005
1.09647819614320e+000	9.99997999943887e-001,-1.09646804392532e-005
1.10917481526242e+000	9.99997999942486e-001,-1.10916454543219e-005
1.12201845430198e+000	9.99997999941054e-001,-1.12200806558084e-005
1.13501081567233e+000	9.99997999939587e-001,-1.13500030667036e-005
1.14815362149690e+000	9.99997999938087e-001,-1.14814299081315e-005
1.16144861384036e+000	9.99997999936552e-001,-1.16143786002649e-005
1.17489755493955e+000	9.99997999934981e-001,-1.17488667660448e-005
1.18850222743704e+000	9.99997999933373e-001,-1.18849122314857e-005
1.20226443461743e+000	9.99997999931729e-001,-1.20225330291173e-005
1.21618600064639e+000	9.99997999930044e-001,-1.21617474001354e-005
1.23026877081240e+000	9.99997999928322e-001,-1.23025737979687e-005
1.24451461177140e+000	9.99997999926559e-001,-1.24450308884451e-005
1.25892541179419e+000	9.99997999924754e-001,-1.25891375546075e-005
1.27350308101668e+000	9.99997999922909e-001,-1.27349128971300e-005
1.28824955169315e+000	9.99997999921021e-001,-1.28823762383704e-005
1.30316677845232e+000	9.99997999919088e-001,-1.30315471247985e-005
1.31825673855643e+000	9.99997999917110e-001,-1.31824453286340e-005
1.33352143216334e+000	9.99997999915086e-001,-1.33350908514960e-005
1.34896288259167e+000	9.99997999913015e-001,-1.34895039259022e-005
1.36458313658895e+000	9.99997999910895e-001,-1.36457050195847e-005
1.38038426460291e+000	9.99997999908727e-001,-1.38037148367109e-005
1.39636836105596e+000	9.99997999906507e-001,-1.39635543211595e-005
1.41253754462278e+000	9.99997999904237e-001,-1.41252446602249e-005
1.42889395851112e+000	9.99997999901913e-001,-1.42888072843543e-005
1.44543977074595e+000	9.99997999899536e-001,-1.44542638747244e-005
1.46217717445674e+000	9.99997999897101e-001,-1.46216363622011e-005
1.47910838816823e+000	9.99997999894612e-001,-1.47909469315299e-005
1.49623565609446e+000	9.99997999892064e-001,-1.49622180252640e-005
1.51356124843623e+000	9.99997999889456e-001,-1.51354723445688e-005
1.53108746168205e+000	9.99997999886788e-001,-1.53107328538434e-005
1.54881661891251e+000	9.99997999884058e-001,-1.54880227847173e-005
1.56675107010817e+000	9.99997999881264e-001,-1.56673656360642e-005
1.58489319246114e+000	9.99997999878406e-001,-1.58487851797198e-005
1.60324539069007e+000	9.99997999875480e-001,-1.60323054627439e-005
1.62181009735896e+000	9.99997999872486e-001,-1.62179508104454e-005
1.64058977319957e+000	9.99997999869424e-001,-1.64057458302131e-005
1.65958690743759e+000	9.99997999866288e-001,-1.65957154136108e-005
1.67880401812259e+000	9.99997999863080e-001,-1.67878847410267e-005
1.69824365246177e+000	9.99997999859799e-001,-1.69822792844904e-005
1.71790838715762e+000	9.99997999856439e-001,-1.71789248107396e-005
1.73780082874940e+000	9.99997999853002e-001,-1.73778473847735e-005
1.75792361395872e+000	9.99997999849485e-001,-1.75790733736965e-005
1.77827941003895e+000	9.99997999845886e-001,-1.77826294498821e-005
1.79887091512882e+000	9.99997999842203e-001,-1.79885425941238e-005
1.81970085861001e+000	9.99997999838434e-001,-1.81968401002975e-005
1.84077200146899e+000	9.99997999834577e-001,-1.84075495779984e-005
1.86208713666290e+000	9.99997999830631e-001,-1.86206989564270e-005
1.88364908948983e+000	9.99997999826592e-001,-1.88363164879276e-005
1.90546071796328e+000	9.99997999822460e-001,-1.90544307532900e-005
1.92752491319097e+000	9.99997999818232e-001,-1.92750706624568e-005
1.94984459975808e+000	9.99997999813905e-001,-1.94982654615460e-005
1.97242273611489e+000	9.99997999809477e-001,-1.97240447346129e-005
1.99526231496891e+000	9.99997999804946e-001,-1.99524384084805e-005
2.01836636368160e+000	9.99997999800309e-001,-2.01834767563745e-005
2.04173794466957e+000	9.99997999795564e-001,-2.04171904023091e-005
2.06538015581057e+000	9.99997999790709e-001,-2.06536103245845e-005
2.08929613085408e+000	9.99997999785742e-001,-2.08927678607128e-005
2.11348903983668e+000	9.99997999780658e-001,-2.11346947104858e-005
2.13796208950227e+000	9.99997999775455e-001,-2.13794229409424e-005
2.16271852372706e+000	9.99997999770132e-001,-2.16269849910183e-005
2.18776162394959e+000	9.99997999764685e-001,-2.18774136747032e-005
2.21309470960568e+000	9.99997999759110e-001,-2.21307421854879e-005
2.23872113856838e+000	9.99997999753406e-001,-2.23870041024160e-005
2.26464430759310e+000	9.99997999747569e-001,-2.26462333925534e-005
2.29086765276781e+000	9.99997999741596e-001,-2.29084644161580e-005
2.31739464996852e+000	9.99997999735484e-001,-2.31737319318424e-005
2.34422881531996e+000	9.99997999729229e-001,-2.34420711007995e-005
2.37137370566170e+000	9.99997999722828e-001,-2.37135174907576e-005
2.39883291901953e+000	9.99997999716280e-001,-2.39881070818856e-005
2.42661009508246e+000	9.99997999709578e-001,-2.42658762705817e-005
2.45470891568508e+000	9.99997999702720e-001,-2.45468618749337e-005
2.48313310529562e+000	9.99997999695702e-001,-2.48311011392787e-005
2.51188643150963e+000	9.99997999688521e-001,-2.51186317390597e-005
2.54097270554935e+000	9.99997999681172e-001,-2.54094917863076e-005
2.57039578276891e+000	9.99997999673653e-001,-2.57037198342138e-005
2.60015956316532e+000	9.99997999665958e-001,-2.60013548822442e-005
2.63026799189543e+000	9.99997999658083e-001,-2.63024363815933e-005
