time	V(n003)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000
1.000002892500031e-003	2.756390e-010
1.000008677500094e-003	1.504056e-009
1.000011360393930e-003	3.026222e-009
1.000015937439786e-003	8.698628e-009
1.000020183197742e-003	1.865431e-008
1.000024282835120e-003	3.546359e-008
1.000028365015656e-003	6.300652e-008
1.000033284290516e-003	1.156786e-007
1.000038755833604e-003	2.080843e-007
1.000045317733947e-003	3.823301e-007
1.000052761060348e-003	6.933152e-007
1.000061595962607e-003	1.273276e-006
1.000071736524740e-003	2.319555e-006
1.000083704545447e-003	4.258618e-006
1.000097548760087e-003	7.781374e-006
1.000113843308707e-003	1.428877e-005
1.000132799231856e-003	2.616923e-005
1.000155098427613e-003	4.808945e-005
1.000181165128298e-003	8.826817e-005
1.000211871130500e-003	1.624363e-004
1.000247944553624e-003	2.989128e-004
1.000290581211833e-003	5.513762e-004
1.000340980370643e-003	1.018094e-003
1.000400905131725e-003	1.885067e-003
1.000472359823589e-003	3.498300e-003
1.000558177043286e-003	6.517331e-003
1.000661926231080e-003	1.219465e-002
1.000788750011936e-003	2.296604e-002
1.000945921836732e-003	4.145147e-002
1.001000000000000e-003	4.932155e-002
1.001019904887747e-003	5.290184e-002
1.001059714663242e-003	6.054517e-002
1.001139334214231e-003	7.815349e-002
1.001290501755049e-003	1.201178e-001
1.001592836836683e-003	2.268161e-001
1.001933742281307e-003	3.716141e-001
1.002363273724767e-003	5.689240e-001
1.002804804180637e-003	7.560517e-001
1.003333486478851e-003	9.251164e-001
1.003970414877316e-003	1.038299e+000
1.004691972494447e-003	1.071851e+000
1.005475372077286e-003	1.047076e+000
1.006246872427444e-003	1.010456e+000
1.007114291248283e-003	9.886691e-001
1.008292141902655e-003	9.884851e-001
1.009808447814305e-003	9.996413e-001
1.011295034477686e-003	1.003125e+000
1.013248159477686e-003	1.000087e+000
1.015201284477686e-003	9.991962e-001
1.017154409477686e-003	1.000185e+000
1.019107534477686e-003	1.000222e+000
1.021060659477686e-003	9.998733e-001
1.023013784477686e-003	9.999551e-001
1.024966909477686e-003	1.000052e+000
1.026920034477686e-003	9.999980e-001
1.028873159477686e-003	9.999794e-001
1.030826284477686e-003	1.000003e+000
1.032779409477686e-003	1.000003e+000
1.034732534477686e-003	9.999949e-001
1.036685659477686e-003	9.999971e-001
1.038638784477686e-003	9.999993e-001
1.044498159477686e-003	9.999981e-001
1.884341909477686e-003	9.999980e-001
1.999576284477681e-003	9.999980e-001
2.000000000000000e-003	9.999980e-001
