Freq.	V(n003)
1.00000000000000e+001	9.99997966615836e-001,-1.98648442426410e-004
1.01157945425990e+001	9.99997965838126e-001,-2.00948682838436e-004
1.02329299228075e+001	9.99997965042300e-001,-2.03275558774144e-004
1.03514216667934e+001	9.99997964227937e-001,-2.05629378658199e-004
1.04712854805090e+001	9.99997963394606e-001,-2.08010454486637e-004
1.05925372517729e+001	9.99997962541864e-001,-2.10419101868223e-004
1.07151930523761e+001	9.99997961669259e-001,-2.12855640066323e-004
1.08392691402120e+001	9.99997960776328e-001,-2.15320392041140e-004
1.09647819614319e+001	9.99997959862597e-001,-2.17813684492629e-004
1.10917481526240e+001	9.99997958927585e-001,-2.20335847903719e-004
1.12201845430196e+001	9.99997957970792e-001,-2.22887216584133e-004
1.13501081567232e+001	9.99997956991713e-001,-2.25468128714728e-004
1.14815362149688e+001	9.99997955989828e-001,-2.28078926392293e-004
1.16144861384034e+001	9.99997954964607e-001,-2.30719955674913e-004
1.17489755493953e+001	9.99997953915504e-001,-2.33391566627816e-004
1.18850222743702e+001	9.99997952841966e-001,-2.36094113369793e-004
1.20226443461741e+001	9.99997951743420e-001,-2.38827954120128e-004
1.21618600064637e+001	9.99997950619287e-001,-2.41593451246082e-004
1.23026877081238e+001	9.99997949468969e-001,-2.44390971310901e-004
1.24451461177139e+001	9.99997948291858e-001,-2.47220885122455e-004
1.25892541179417e+001	9.99997947087327e-001,-2.50083567782323e-004
1.27350308101666e+001	9.99997945854739e-001,-2.52979398735574e-004
1.28824955169314e+001	9.99997944593441e-001,-2.55908761821014e-004
1.30316677845230e+001	9.99997943302763e-001,-2.58872045322092e-004
1.31825673855641e+001	9.99997941982022e-001,-2.61869642018351e-004
1.33352143216333e+001	9.99997940630517e-001,-2.64901949237489e-004
1.34896288259166e+001	9.99997939247531e-001,-2.67969368908033e-004
1.36458313658893e+001	9.99997937832331e-001,-2.71072307612608e-004
1.38038426460289e+001	9.99997936384166e-001,-2.74211176641831e-004
1.39636836105594e+001	9.99997934902270e-001,-2.77386392048828e-004
1.41253754462276e+001	9.99997933385857e-001,-2.80598374704386e-004
1.42889395851111e+001	9.99997931834120e-001,-2.83847550352702e-004
1.44543977074593e+001	9.99997930246241e-001,-2.87134349667873e-004
1.46217717445672e+001	9.99997928621374e-001,-2.90459208310934e-004
1.47910838816821e+001	9.99997926958659e-001,-2.93822566987621e-004
1.49623565609444e+001	9.99997925257214e-001,-2.97224871506799e-004
1.51356124843621e+001	9.99997923516138e-001,-3.00666572839512e-004
1.53108746168203e+001	9.99997921734507e-001,-3.04148127178801e-004
1.54881661891249e+001	9.99997919911376e-001,-3.07669996000160e-004
1.56675107010815e+001	9.99997918045780e-001,-3.11232646122676e-004
1.58489319246112e+001	9.99997916136728e-001,-3.14836549770938e-004
1.60324539069005e+001	9.99997914183208e-001,-3.18482184637612e-004
1.62181009735893e+001	9.99997912184185e-001,-3.22170033946773e-004
1.64058977319954e+001	9.99997910138600e-001,-3.25900586517926e-004
1.65958690743757e+001	9.99997908045365e-001,-3.29674336830828e-004
1.67880401812257e+001	9.99997905903373e-001,-3.33491785091004e-004
1.69824365246175e+001	9.99997903711489e-001,-3.37353437296077e-004
1.71790838715759e+001	9.99997901468548e-001,-3.41259805302810e-004
1.73780082874938e+001	9.99997899173363e-001,-3.45211406894954e-004
1.75792361395870e+001	9.99997896824716e-001,-3.49208765851886e-004
1.77827941003893e+001	9.99997894421362e-001,-3.53252412018052e-004
1.79887091512879e+001	9.99997891962027e-001,-3.57342881373150e-004
1.81970085860999e+001	9.99997889445406e-001,-3.61480716103209e-004
1.84077200146896e+001	9.99997886870166e-001,-3.65666464672450e-004
1.86208713666287e+001	9.99997884234941e-001,-3.69900681895963e-004
1.88364908948981e+001	9.99997881538333e-001,-3.74183929013268e-004
1.90546071796325e+001	9.99997878778914e-001,-3.78516773762697e-004
1.92752491319094e+001	9.99997875955219e-001,-3.82899790456635e-004
1.94984459975805e+001	9.99997873065752e-001,-3.87333560057652e-004
1.97242273611486e+001	9.99997870108980e-001,-3.91818670255521e-004
1.99526231496889e+001	9.99997867083337e-001,-3.96355715545081e-004
2.01836636368157e+001	9.99997863987218e-001,-4.00945297305062e-004
2.04173794466954e+001	9.99997860818981e-001,-4.05588023877789e-004
2.06538015581054e+001	9.99997857576945e-001,-4.10284510649808e-004
2.08929613085405e+001	9.99997854259393e-001,-4.15035380133452e-004
2.11348903983666e+001	9.99997850864566e-001,-4.19841262049368e-004
2.13796208950224e+001	9.99997847390663e-001,-4.24702793409968e-004
2.16271852372703e+001	9.99997843835842e-001,-4.29620618603857e-004
2.18776162394956e+001	9.99997840198219e-001,-4.34595389481263e-004
2.21309470960565e+001	9.99997836475864e-001,-4.39627765440431e-004
2.23872113856835e+001	9.99997832666806e-001,-4.44718413515007e-004
2.26464430759307e+001	9.99997828769023e-001,-4.49868008462462e-004
2.29086765276778e+001	9.99997824780448e-001,-4.55077232853529e-004
2.31739464996849e+001	9.99997820698967e-001,-4.60346777162671e-004
2.34422881531993e+001	9.99997816522418e-001,-4.65677339859604e-004
2.37137370566167e+001	9.99997812248583e-001,-4.71069627501862e-004
2.39883291901950e+001	9.99997807875199e-001,-4.76524354828467e-004
2.42661009508243e+001	9.99997803399946e-001,-4.82042244854642e-004
2.45470891568504e+001	9.99997798820449e-001,-4.87624028967659e-004
2.48313310529558e+001	9.99997794134284e-001,-4.93270447023777e-004
2.51188643150959e+001	9.99997789338963e-001,-4.98982247446292e-004
2.54097270554932e+001	9.99997784431945e-001,-5.04760187324755e-004
2.57039578276888e+001	9.99997779410628e-001,-5.10605032515309e-004
2.60015956316529e+001	9.99997774272349e-001,-5.16517557742199e-004
2.63026799189540e+001	9.99997769014384e-001,-5.22498546700450e-004
2.66072505979882e+001	9.99997763633947e-001,-5.28548792159759e-004
2.69153480392693e+001	9.99997758128182e-001,-5.34669096069552e-004
2.72270130807793e+001	9.99997752494171e-001,-5.40860269665294e-004
2.75422870333818e+001	9.99997746728929e-001,-5.47123133575983e-004
2.78612116862979e+001	9.99997740829396e-001,-5.53458517932959e-004
2.81838293126447e+001	9.99997734792446e-001,-5.59867262479900e-004
2.85101826750393e+001	9.99997728614876e-001,-5.66350216684134e-004
2.88403150312662e+001	9.99997722293413e-001,-5.72908239849229e-004
2.91742701400118e+001	9.99997715824705e-001,-5.79542201228898e-004
2.95120922666640e+001	9.99997709205321e-001,-5.86252980142188e-004
2.98538261891798e+001	9.99997702431751e-001,-5.93041466090039e-004
3.01995172040203e+001	9.99997695500405e-001,-5.99908558873185e-004
3.05492111321553e+001	9.99997688407607e-001,-6.06855168711413e-004
3.09029543251361e+001	9.99997681149597e-001,-6.13882216364197e-004
3.12607936712397e+001	9.99997673722526e-001,-6.20990633252735e-004
3.16227766016840e+001	9.99997666122457e-001,-6.28181361583419e-004
3.19889510969142e+001	9.99997658345359e-001,-6.35455354472688e-004
3.23593656929630e+001	9.99997650387110e-001,-6.42813576073379e-004
3.27340694878840e+001	9.99997642243489e-001,-6.50257001702498e-004
3.31131121482593e+001	9.99997633910180e-001,-6.57786617970509e-004
3.34965439157830e+001	9.99997625382762e-001,-6.65403422912074e-004
3.38844156139205e+001	9.99997616656716e-001,-6.73108426118349e-004
3.42767786546453e+001	9.99997607727414e-001,-6.80902648870794e-004
3.46736850452534e+001	9.99997598590122e-001,-6.88787124276516e-004
3.50751873952570e+001	9.99997589239996e-001,-6.96762897405227e-004
3.54813389233578e+001	9.99997579672077e-001,-7.04831025427728e-004
3.58921934645008e+001	9.99997569881293e-001,-7.12992577756032e-004
3.63078054770104e+001	9.99997559862452e-001,-7.21248636185114e-004
3.67282300498087e+001	9.99997549610243e-001,-7.29600295036271e-004
3.71535229097175e+001	9.99997539119229e-001,-7.38048661302178e-004
3.75837404288447e+001	9.99997528383849e-001,-7.46594854793592e-004
3.80189396320564e+001	9.99997517398409e-001,-7.55240008287777e-004
3.84591782045356e+001	9.99997506157087e-001,-7.63985267678645e-004
3.89045144994284e+001	9.99997494653920e-001,-7.72831792128607e-004
3.93550075455780e+001	9.99997482882810e-001,-7.81780754222220e-004
3.98107170553500e+001	9.99997470837517e-001,-7.90833340121608e-004
4.02717034325462e+001	9.99997458511653e-001,-7.99990749723641e-004
4.07380277804116e+001	9.99997445898683e-001,-8.09254196818986e-004
4.12097519097333e+001	9.99997432991919e-001,-8.18624909252976e-004
4.16869383470339e+001	9.99997419784518e-001,-8.28104129088331e-004
4.21696503428586e+001	9.99997406269479e-001,-8.37693112769777e-004
4.26579518801596e+001	9.99997392439632e-001,-8.47393131290579e-004
4.31519076827769e+001	9.99997378287649e-001,-8.57205470360983e-004
4.36515832240170e+001	9.99997363806024e-001,-8.67131430578604e-004
4.41570447353316e+001	9.99997348987079e-001,-8.77172327600823e-004
4.46683592150967e+001	9.99997333822957e-001,-8.87329492319129e-004
4.51855944374926e+001	9.99997318305618e-001,-8.97604271035529e-004
4.57088189614879e+001	9.99997302426833e-001,-9.07998025640949e-004
4.62381021399264e+001	9.99997286178186e-001,-9.18512133795761e-004
