time	V(n002)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000
1.000002892500031e-003	6.331249e-011
1.000008677500094e-003	3.533170e-010
1.000011609074645e-003	7.460879e-010
1.000016126397766e-003	2.063566e-009
1.000020247954171e-003	4.312782e-009
1.000024185521279e-003	8.040857e-009
1.000028291500884e-003	1.439283e-008
1.000033118888586e-003	2.623547e-008
1.000038589790375e-003	4.739969e-008
1.000045039644590e-003	8.666196e-008
1.000052431699940e-003	1.574808e-007
1.000061105359056e-003	2.881509e-007
1.000071110142269e-003	5.251929e-007
1.000082817364920e-003	9.611965e-007
1.000096375690981e-003	1.754957e-006
1.000112217073620e-003	3.212350e-006
1.000130612348304e-003	5.871799e-006
1.000152092021711e-003	1.075048e-005
1.000177085253838e-003	1.966826e-005
1.000206273233406e-003	3.602477e-005
1.000240299321928e-003	6.596700e-005
1.000280071219065e-003	1.209094e-004
1.000326534728913e-003	2.216458e-004
1.000380941729468e-003	4.066998e-004
1.000444686988107e-003	7.466916e-004
1.000519564940894e-003	1.372571e-003
1.000607683638939e-003	2.526033e-003
1.000711754292332e-003	4.657323e-003
1.000835138062349e-003	8.605664e-003
1.000982287952369e-003	1.500072e-002
1.001000000000000e-003	1.594079e-002
1.001047341866265e-003	1.905909e-002
1.001110464354619e-003	2.396977e-002
1.001235765814074e-003	3.667483e-002
1.001486368732984e-003	7.296418e-002
1.001857075596051e-003	1.496496e-001
1.002272147894704e-003	2.643775e-001
1.002746696503694e-003	4.201525e-001
1.003268126079774e-003	5.941674e-001
1.003867728114734e-003	7.618064e-001
1.004502474407726e-003	8.740108e-001
1.005130969379421e-003	9.128739e-001
1.005684640316991e-003	8.981631e-001
1.006285617784176e-003	8.595873e-001
1.006901712958239e-003	8.318045e-001
1.007705103777065e-003	8.377726e-001
1.008397551849552e-003	8.809199e-001
1.009167146857513e-003	9.488702e-001
1.009924678340820e-003	9.985393e-001
1.010967375338497e-003	1.016529e+000
1.011801207539273e-003	9.967813e-001
1.012699493858570e-003	9.668757e-001
1.013621673527894e-003	9.574955e-001
1.014533724378312e-003	9.741310e-001
1.015623000375924e-003	1.003706e+000
1.016676012626602e-003	1.016217e+000
1.017761516384631e-003	1.006905e+000
1.019071258959991e-003	9.895074e-001
1.020302357839057e-003	9.878021e-001
1.021556886080627e-003	9.990436e-001
1.023044223497878e-003	1.006833e+000
1.024764852636405e-003	1.001103e+000
1.026603328050039e-003	9.954063e-001
1.028556453050039e-003	9.997255e-001
1.030509578050039e-003	1.003180e+000
1.032462703050039e-003	9.995303e-001
1.034415828050039e-003	9.977093e-001
1.036368953050039e-003	1.000763e+000
1.038322078050039e-003	1.001532e+000
1.040275203050039e-003	9.991382e-001
1.042228328050039e-003	9.990283e-001
1.044181453050039e-003	1.000816e+000
1.046134578050039e-003	1.000557e+000
1.048087703050039e-003	9.992886e-001
1.050040828050039e-003	9.997208e-001
1.051993953050039e-003	1.000574e+000
1.053947078050039e-003	1.000093e+000
1.055900203050039e-003	9.995553e-001
1.057853328050039e-003	1.000012e+000
1.059806453050039e-003	1.000322e+000
1.061759578050039e-003	9.999259e-001
1.063712703050039e-003	9.997731e-001
1.065665828050039e-003	1.000094e+000
1.067618953050039e-003	1.000146e+000
1.069572078050039e-003	9.998991e-001
1.071525203050039e-003	9.999080e-001
1.073478328050039e-003	1.000088e+000
1.075431453050039e-003	1.000047e+000
1.077384578050039e-003	9.999222e-001
1.079337703050039e-003	9.999761e-001
1.081290828050039e-003	1.000058e+000
1.083243953050039e-003	1.000003e+000
1.085197078050039e-003	9.999529e-001
1.089103328050039e-003	1.000030e+000
1.091056453050039e-003	9.999881e-001
1.093009578050039e-003	9.999760e-001
1.094962703050039e-003	1.000010e+000
1.096915828050039e-003	1.000012e+000
1.098868953050039e-003	9.999869e-001
1.100822078050039e-003	9.999898e-001
1.102775203050039e-003	1.000008e+000
1.104728328050039e-003	1.000002e+000
1.106681453050039e-003	9.999900e-001
1.108634578050039e-003	9.999964e-001
1.110587703050039e-003	1.000004e+000
1.112540828050039e-003	9.999980e-001
1.114493953050039e-003	9.999934e-001
1.118400203050039e-003	1.000001e+000
1.120353328050039e-003	9.999967e-001
1.122306453050039e-003	9.999959e-001
1.124259578050039e-003	9.999993e-001
1.126212703050039e-003	9.999993e-001
1.128165828050039e-003	9.999968e-001
1.130118953050039e-003	9.999973e-001
1.132072078050039e-003	9.999990e-001
1.135978328050039e-003	9.999971e-001
1.139884578050039e-003	9.999986e-001
1.143790828050039e-003	9.999975e-001
1.147697078050039e-003	9.999983e-001
1.168065381621468e-003	9.999982e-001
1.188433685192896e-003	9.999980e-001
1.208801988764325e-003	9.999979e-001
1.229170292335754e-003	9.999979e-001
1.249538595907182e-003	9.999979e-001
1.269906899478611e-003	9.999979e-001
1.290275203050039e-003	9.999980e-001
1.866447078050040e-003	9.999980e-001
1.999259578050035e-003	9.999980e-001
2.000000000000000e-003	9.999980e-001
